sentence_index	sentence_id	source_file	source_path	page_number	block_index	text_length	text
0	SN0006-01 井录井报告.md__p1	SN0006-01 井录井报告.md	/home/superuser/dev/NER/data/SN0006-01 井录井报告.md	1	0	51	# <br> 鄂尔多斯盆地伊陕斜坡 <br>\n\n# <br> SN0006-01 井录井报告 <br>
1	SN0006-01 井录井报告.md__p2	SN0006-01 井录井报告.md	/home/superuser/dev/NER/data/SN0006-01 井录井报告.md	2	1	224	# <br> 中国石油天然气股份有限公司 <br>\n\n长庆油田分公司\n\n2021 年 11 月 20 日\n\n![](http://111.19.137.226:8050/minddoc/process_data/c81d6ab800f03ccf64e17a0755b5ea87/images/4c9c4b6dfbd769c97da820e80757150e57d2ef0c39a1ab0c9975977d62abce74.jpg)\n\n施工单位：西部
2	SN0006-01 井录井报告.md__p3	SN0006-01 井录井报告.md	/home/superuser/dev/NER/data/SN0006-01 井录井报告.md	3	2	102	监督所在单位：中油勘探监理涿州有限责任公司\n\n监督人：刘 伟\n\n编写人：吴建新\n\n审核人：彭俊民\n\n# <br> 中国石油天然气股份有限公司 <br>\n\n长庆油田分公司\n\n2021 年 11 月 20 日
3	SN0006-01 井录井报告.md__p4	SN0006-01 井录井报告.md	/home/superuser/dev/NER/data/SN0006-01 井录井报告.md	4	3	408	# <br> SN0006-01 井录井资料评审意见书 <br>\n\n#\n\n本井于2021年11 月20日完井，11月28日完成该井资料整理工作，11月29日完成综合评\n\n二、原始资料评审：\n\n\n\n\n\n2510 610\n\n\n\n三、资料综合评\n\n(%) (‰) (%) (%) $1 0 0 \%$ ，两处格式错误。\n\n2、录井报告编写章节齐全，气层特征叙述详细、综合解释恰当，建议合理，个别数据不对口。\n\n100 0.5 \\n\n4、审核中所发现的差错之处均已整改合格。\n\n四、综合评审意见：\n\n![](http://111.19.137.226:8050/minddoc/process_data/c81d6ab800f03ccf64e17a0755b5ea87/images/794b84526feb1a06a5ec2ff6a192b966e40cdda92cef920ab2f2e01bcd6160a3.jpg)
4	SN0006-01 井录井报告.md__p5	SN0006-01 井录井报告.md	/home/superuser/dev/NER/data/SN0006-01 井录井报告.md	5	4	111	4、审核中所发现的差错之处均已整改合格。\n\n5、综合评定本井资料为一级品。\n\n# <br> 评审单位：长庆油田苏里格南作业分公司技术科地质组 <br>\n\n评审人：刘伟\n\n技术负责人：李永忠\n\n评审日期：2021.11.19
5	SN0006-01 井录井报告.md__p6	SN0006-01 井录井报告.md	/home/superuser/dev/NER/data/SN0006-01 井录井报告.md	6	5	300	# <br> 目 <br> <br> 录 <br>\n\n第一章 概 况...\n\n第二章 录井综述.\n\n1. 钻井简史.2. 录井概况.3. 工程与录井.4. 其它与录井质量有关的问题.第三章 地质成果.\n\n1. 地层 .. 42．油、气、水显示.4. 构造 .. 14第四章 结论与建议.. 15\n\n1. 结论 .. . 15\n\n2. 建议 .. . 15\n\n# <br> 录井报告附表： <br>\n\n附表1. 基本数据表. 16  \n附表2. 录井资料统计表. . 20  \n附表3. 油气显示统计表. 22  \n附表4. 钻井液性能分段统计表. . 25  \n附表5. 测井项目统计表.. . 27
6	SN0006-01 井录井报告.md__p7	SN0006-01 井录井报告.md	/home/superuser/dev/NER/data/SN0006-01 井录井报告.md	7	6	65	附表 6. 气测综合解释成果表. 29\n\n# <br> 录井报告附图： <br>\n\nSN0006-01 井录井综合图（1:500）
7	SN0006-01 井录井报告.md__p8	SN0006-01 井录井报告.md	/home/superuser/dev/NER/data/SN0006-01 井录井报告.md	8	7	852	# <br> 第一章 概 况 <br>\n\nSN0006-01井位于内蒙古自治区鄂尔多斯市鄂托克前旗昂素镇哈日根图嘎查，构造属于鄂尔多斯盆地伊陕斜坡。本井为天然气开发井，钻探目的：1.完成2021年产建任务。2.通过钻井弥补产量递减和上产；依据压裂试气以及天然气生产所提供的静态和动态资料，为建立区块气藏地质模型奠定基础；优化地震处理解释方法，提高地震储层预测符合率，寻找气藏富集区，为后期加密井部署提供有力支持。设计井深 $3 6 8 8 . 0 0 \mathrm { m }$ （垂深），设计井口坐标（X）4224955.59，（Y）19257197.07，实测井口坐标（X）4224955.59，（Y）19257197.07，设计中靶坐标（X）4224964.00，（Y）19256273.00，实际中靶坐标（X）4224983.80，（Y）19256289.10，靶心距 $2 5 . 5 1 \mathrm { m }$ ，地面海拔 $1 3 4 4 . 9 7 \mathrm { m }$ ，补心海拔 $1 3 5 4 . 3 8 \mathrm { m }$ ，补心高 $9 . 4 1 \mathrm { m }$ 。本井于 2021 年 11 月 04日开钻，2021 年 11 月 15 日完钻，完钻井深 $3 7 9 8 . 0 0 \mathrm { m }$ （斜深），完钻层位二叠系下统太原组（未穿），2021年11月20日完井。\n\n钻井地质设计单位为中石油长城钻探工程有限公司录井公司，设计日期为 2021 年 09 月27日，设计人耿云伟，批准人贾增强。\n\n钻井施工任务由西部钻探工程有限公司 50638 钻井队承担，钻机型号 ZJ50 型，钻井队队长刘志鹏，钻井队技术员黄斌。综合录井任务由西部钻探吐哈录井工程公司 L10952 综合录井队承担，录井仪器型号 SK-2000C，录井队长吴建新，地质师吴建新，地质监督刘伟，钻井监督万红普均中油勘探监理涿州有限责任公司。
8	SN0006-01 井录井报告.md__p9	SN0006-01 井录井报告.md	/home/superuser/dev/NER/data/SN0006-01 井录井报告.md	9	8	1741	# <br> 第二章 <br> <br> 录井综述 <br>\n\n# <br> 1. 钻井简史 <br>\n\n本井于 2021 年 11 月 04 日 11:00 由西部钻探工程有限公司 50638 钻井队采用直径311.2mmPDC 钻头打导管，04 日下入外径 $2 4 4 . 4 8 \mathrm { m m }$ 导管 5 根至井深 $5 5 . 1 8 \mathrm { m }$ ，固井，候凝。2021 年 11 月 04 日 22:00 采用直径 $2 1 5 . 9 \mathrm { m m P D C }$ 钻头“一开”钻进，05 日 08:00 钻进至井深$7 4 6 . 0 0 \mathrm { m }$ 第一次完钻，05日下入外径 $1 7 7 . 8 0 \mathrm { m m }$ 表层套管66根至井深 $7 4 5 . 9 7 \mathrm { m }$ ，固井，候凝。2021 年 11 月 07 日 03:00 由西部钻探工程有限公司 50638 钻井队采用直径 $1 5 2 . 4 \mathrm { m m P D C }$ 钻头“二开”钻进，于井深 $7 4 6 . 0 0 \mathrm { m }$ 按地质设计要求进行综合录井，07 日于井深 $8 0 0 . 0 0 \mathrm { m }$ 开始定向钻进，15日20:15 钻进至井深 $3 7 9 8 . 0 0 \mathrm { m }$ 钻头落井，接甲方通知打捞钻头。17日钻头打捞失败，接甲方通知提前完钻。18日完钻电测， 19日至20日下入外径 $8 8 . 9 0 \mathrm { m m }$ 气层套管393根至井深 $3 7 8 9 . 2 0 \mathrm { m }$ ，20 日固井后完井。全井最大井斜 $2 7 . 6 8 ^ { \circ }$ ，方位 $2 7 8 . 9 1 ^ { \circ }$ ，该点位于井深 $1 6 5 0 . 0 0 \mathrm { m }$ ，井底闭合方位 $2 7 1 . 9 8 ^ { \circ }$ ，井底闭合距 $9 0 9 . 2 7 \mathrm { m }$ 。靶心距 $2 5 . 5 1 \mathrm { m }$ ，井身质量合格。\n\n# <br> 2. 录井概况 <br>\n\n本井录井作业严格按钻井地质设计对资料的录取要求，自井深 $7 4 6 . 0 0 \mathrm { m }$ 至 $3 7 9 8 . 0 0 \mathrm { m }$ 进行了综合录井。其中钻时、气测每 $1 \mathrm { m }$ 读1点，共录取3052点；岩屑录井刘家沟底界以上 $5 0 \mathrm { m } ^ { \sim }$ 石千峰底，每 $2 \mathrm { m }$ 取样1包，石千峰底～井底，每1m 取样1包，共录取岩屑 551包；碳酸盐分析每 $2 \mathrm { m }$ 取样1点，共4点；钻井液性能（密度、粘度）1点 $^ { \prime } 1 0 \mathrm { m }$ ，共测定306点；$1 0 0 0 . 0 0 { \sim } 3 7 9 8 . 0 0 \mathrm { m }$ 实际测量迟到时间 32次。\n\n此外，本井录井作业还进行了钻井工程监测、地层压力监测、钻井液监测、气体监测等工程录井项目，准确及时地为钻井安全施工作业提供了地层与事故异常预报。各项录井资料齐全，真实可靠。\n\n# <br> 3. 工程与录井 <br>\n\n本井钻井施工过程中，2021年 11 月15日20:01 钻进至 $3 7 9 8 . 3 1 \mathrm { m } ,$ 迟到井深 $3 7 9 1 . 5 5 \mathrm { m }$ , 立压由 23.03Mpa↑25.3Mpa，扭矩由 22.59KN.m↑27.71KN.m，钻头加配合接头掉落，落鱼 $0 . 5 7 \mathrm { m }$ ，接甲方通知打捞钻头，2021 年 11 月 17 日钻头打捞失败，接甲方通知提前完钻。钻井液性能
9	SN0006-01 井录井报告.md__p10	SN0006-01 井录井报告.md	/home/superuser/dev/NER/data/SN0006-01 井录井报告.md	10	9	129	符合现场录井要求，保证了录井质量，录井所录取的各项资料真实可靠，能够准确反映地层特征及含油气水情况，全井无影响录井质量的工况发生。测井依照设计要求执行，项目齐全。\n\n# <br> 4. 其它与录井质量有关的问题 <br>\n\n全井未发生影响录井质量的工程事故。
