sentence_id	token_idx	char	tag
SN0006-01 井录井报告.md__p1	7	鄂	B-block
SN0006-01 井录井报告.md__p1	8	尔	I-block
SN0006-01 井录井报告.md__p1	9	多	I-block
SN0006-01 井录井报告.md__p1	10	斯	I-block
SN0006-01 井录井报告.md__p1	11	盆	I-block
SN0006-01 井录井报告.md__p1	12	地	I-block
SN0006-01 井录井报告.md__p1	13	伊	I-block
SN0006-01 井录井报告.md__p1	14	陕	I-block
SN0006-01 井录井报告.md__p1	15	斜	I-block
SN0006-01 井录井报告.md__p1	16	坡	I-block
SN0006-01 井录井报告.md__p1	31	S	B-well_name
SN0006-01 井录井报告.md__p1	32	N	I-well_name
SN0006-01 井录井报告.md__p1	33	0	I-well_name
SN0006-01 井录井报告.md__p1	34	0	I-well_name
SN0006-01 井录井报告.md__p1	35	0	I-well_name
SN0006-01 井录井报告.md__p1	36	6	I-well_name
SN0006-01 井录井报告.md__p1	37	-	I-well_name
SN0006-01 井录井报告.md__p1	38	0	I-well_name
SN0006-01 井录井报告.md__p1	39	1	I-well_name
SN0006-01 井录井报告.md__p2	27	长	B-block
SN0006-01 井录井报告.md__p2	28	庆	I-block
SN0006-01 井录井报告.md__p2	29	油	I-block
SN0006-01 井录井报告.md__p2	30	田	I-block
SN0006-01 井录井报告.md__p2	31	分	I-block
SN0006-01 井录井报告.md__p2	32	公	I-block
SN0006-01 井录井报告.md__p2	33	司	I-block
SN0006-01 井录井报告.md__p3	13	涿	B-block
SN0006-01 井录井报告.md__p3	14	州	I-block
SN0006-01 井录井报告.md__p4	7	S	B-well_name
SN0006-01 井录井报告.md__p4	8	N	I-well_name
SN0006-01 井录井报告.md__p4	9	0	I-well_name
SN0006-01 井录井报告.md__p4	10	0	I-well_name
SN0006-01 井录井报告.md__p4	11	0	I-well_name
SN0006-01 井录井报告.md__p4	12	6	I-well_name
SN0006-01 井录井报告.md__p4	13	-	I-well_name
SN0006-01 井录井报告.md__p4	14	0	I-well_name
SN0006-01 井录井报告.md__p4	15	1	I-well_name
SN0006-01 井录井报告.md__p5	55	苏	B-block
SN0006-01 井录井报告.md__p5	56	里	I-block
SN0006-01 井录井报告.md__p5	57	格	I-block
SN0006-01 井录井报告.md__p5	58	南	I-block
SN0006-01 井录井报告.md__p5	59	作	I-block
SN0006-01 井录井报告.md__p5	60	业	I-block
SN0006-01 井录井报告.md__p5	61	分	I-block
SN0006-01 井录井报告.md__p5	62	公	I-block
SN0006-01 井录井报告.md__p5	63	司	I-block
SN0006-01 井录井报告.md__p7	42	S	B-well_name
SN0006-01 井录井报告.md__p7	43	N	I-well_name
SN0006-01 井录井报告.md__p7	44	0	I-well_name
SN0006-01 井录井报告.md__p7	45	0	I-well_name
SN0006-01 井录井报告.md__p7	46	0	I-well_name
SN0006-01 井录井报告.md__p7	47	6	I-well_name
SN0006-01 井录井报告.md__p7	48	-	I-well_name
SN0006-01 井录井报告.md__p7	49	0	I-well_name
SN0006-01 井录井报告.md__p7	50	1	I-well_name
SN0006-01 井录井报告.md__p9	1142	刘	B-block
SN0006-01 井录井报告.md__p9	1143	家	I-block
SN0006-01 井录井报告.md__p9	1144	沟	I-block
SN0006-01 井录井报告.md__p12	16	直	B-strat_unit
SN0006-01 井录井报告.md__p12	17	罗	I-strat_unit
SN0006-01 井录井报告.md__p12	18	组	I-strat_unit
SN0006-01 井录井报告.md__p12	42	直	B-strat_unit
SN0006-01 井录井报告.md__p12	43	罗	I-strat_unit
SN0006-01 井录井报告.md__p12	44	组	I-strat_unit
SN0006-01 井录井报告.md__p12	409	延	B-strat_unit
SN0006-01 井录井报告.md__p12	410	安	I-strat_unit
SN0006-01 井录井报告.md__p12	411	组	I-strat_unit
SN0006-01 井录井报告.md__p12	435	延	B-strat_unit
SN0006-01 井录井报告.md__p12	436	安	I-strat_unit
SN0006-01 井录井报告.md__p12	437	组	I-strat_unit
SN0006-01 井录井报告.md__p12	631	煤	B-lithology
SN0006-01 井录井报告.md__p12	632	层	I-lithology
SN0006-01 井录井报告.md__p12	787	延	B-strat_unit
SN0006-01 井录井报告.md__p12	788	长	I-strat_unit
SN0006-01 井录井报告.md__p12	789	组	I-strat_unit
SN0006-01 井录井报告.md__p12	814	延	B-strat_unit
SN0006-01 井录井报告.md__p12	815	长	I-strat_unit
SN0006-01 井录井报告.md__p12	816	组	I-strat_unit
SN0006-01 井录井报告.md__p22	101	石	B-strat_unit
SN0006-01 井录井报告.md__p22	102	盒	I-strat_unit
SN0006-01 井录井报告.md__p22	103	子	I-strat_unit
SN0006-01 井录井报告.md__p22	104	组	I-strat_unit
SN0006-01 井录井报告.md__p22	197	石	B-strat_unit
SN0006-01 井录井报告.md__p22	198	盒	I-strat_unit
SN0006-01 井录井报告.md__p22	199	子	I-strat_unit
SN0006-01 井录井报告.md__p22	200	组	I-strat_unit
SN0006-01 井录井报告.md__p22	225	石	B-strat_unit
SN0006-01 井录井报告.md__p22	226	盒	I-strat_unit
SN0006-01 井录井报告.md__p22	227	子	I-strat_unit
SN0006-01 井录井报告.md__p22	228	组	I-strat_unit
SN0006-01 井录井报告.md__p22	253	石	B-strat_unit
SN0006-01 井录井报告.md__p22	254	盒	I-strat_unit
SN0006-01 井录井报告.md__p22	255	子	I-strat_unit
SN0006-01 井录井报告.md__p22	256	组	I-strat_unit
SN0006-01 井录井报告.md__p22	281	石	B-strat_unit
SN0006-01 井录井报告.md__p22	282	盒	I-strat_unit
SN0006-01 井录井报告.md__p22	283	子	I-strat_unit
SN0006-01 井录井报告.md__p22	284	组	I-strat_unit
SN0006-01 井录井报告.md__p22	309	山	B-strat_unit
SN0006-01 井录井报告.md__p22	310	西	I-strat_unit
SN0006-01 井录井报告.md__p22	311	组	I-strat_unit
SN0006-02 井录井报告.md__p1	7	鄂	B-block
SN0006-02 井录井报告.md__p1	8	尔	I-block
SN0006-02 井录井报告.md__p1	9	多	I-block
SN0006-02 井录井报告.md__p1	10	斯	I-block
SN0006-02 井录井报告.md__p1	11	盆	I-block
SN0006-02 井录井报告.md__p1	12	地	I-block
SN0006-02 井录井报告.md__p1	13	伊	I-block
SN0006-02 井录井报告.md__p1	14	陕	I-block
SN0006-02 井录井报告.md__p1	15	斜	I-block
SN0006-02 井录井报告.md__p1	16	坡	I-block
SN0006-02 井录井报告.md__p1	31	S	B-well_name
SN0006-02 井录井报告.md__p1	32	N	I-well_name
